# monza_racer telemetry — Lotus 49 @ monza
# t	lap	lapdist	kmh	thr	brk	steer	clu	gear	rpm	x	z	lat	along	ontrack
0.3	0	9.1	0.1	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	9.06	1
0.6	0	14.8	0.1	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	14.82	1
0.9	0	18.1	0.1	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	18.06	1
1.05	0	17.4	0.1	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	17.36	1
1.16	0	14.6	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	14.57	1
1.27	0	12.0	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	11.97	1
1.37	0	9.9	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	9.94	1
1.47	0	8.2	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	8.23	1
1.57	0	6.9	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	6.93	1
1.67	0	5.8	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	5.82	1
1.77	0	4.9	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	4.92	1
1.87	0	4.2	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	4.2	1
1.97	0	3.6	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	3.6	1
2.07	0	3.1	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	3.12	1
2.17	0	2.7	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	2.74	1
2.27	0	2.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	2.43	1
2.37	0	2.2	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	2.18	1
2.47	0	2.0	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.98	1
2.57	0	1.8	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.82	1
2.67	0	1.7	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.7	1
2.77	0	1.6	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.61	1
2.87	0	1.5	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.54	1
2.97	0	1.5	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.48	1
3.07	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.45	1
3.17	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.42	1
3.27	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.41	1
3.37	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.41	1
3.47	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.41	1
3.57	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.42	1
3.67	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.43	1
3.77	0	1.4	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.44	1
3.88	0	1.5	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.46	1
3.98	0	1.5	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.49	1
4.08	0	1.5	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.51	1
4.18	0	1.5	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.0	1.54	1
4.28	0	1.6	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.56	1
4.38	0	1.6	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.59	1
4.48	0	1.6	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.62	1
4.58	0	1.6	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.65	1
4.68	0	1.7	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.68	1
4.78	0	1.7	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.71	1
4.88	0	1.7	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.74	1
4.98	0	1.8	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.78	1
5.08	0	1.8	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.81	1
5.18	0	1.8	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.84	1
5.28	0	1.9	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.87	1
5.38	0	1.9	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.9	1
5.48	0	1.9	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.94	1
5.58	0	2.0	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	1.97	1
5.68	0	2.0	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	2.0	1
5.78	0	2.0	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	2.04	1
5.88	0	2.1	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	2.07	1
5.98	0	2.1	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	2.1	1
6.08	0	2.1	0.0	0.0	0.0	0.01	0.0	1	1953	294.2	-511.4	0.01	2.14	1
