# nurburgring_racer telemetry — Lotus 49 @ nurburgring
# t	lap	lapdist	kmh	thr	brk	steer	clu	gear	rpm	x	z	lat	along	ontrack
0.18	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1954	-940.2	-2308.5	0.0	0.0	1
0.29	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
0.38	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
0.48	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
0.58	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
0.68	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
0.78	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
0.88	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
0.98	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.08	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.18	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.28	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.4	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.47	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.57	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.67	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.77	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.87	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
1.97	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
2.08	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.0	1
2.18	0	1.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	0.95	1
2.28	0	1.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.0	1
2.38	0	1.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.04	1
2.48	0	1.1	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.09	1
2.59	0	1.1	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.14	1
2.68	0	1.2	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.18	1
2.78	0	1.2	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.22	1
2.88	0	1.3	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.27	1
2.98	0	1.3	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.31	1
3.08	0	1.4	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.36	1
3.18	0	1.4	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.4	1
3.28	0	1.4	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.45	1
3.38	0	1.5	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.49	1
3.48	0	1.5	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.54	1
3.58	0	1.6	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.58	1
3.68	0	1.6	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.63	1
3.79	0	1.7	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.68	1
3.89	0	1.7	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.72	1
3.99	0	1.8	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.76	1
4.09	0	1.8	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.81	1
4.19	0	1.9	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.85	1
4.29	0	1.9	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.9	1
4.39	0	1.9	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.94	1
4.49	0	2.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	1.99	1
4.59	0	2.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.03	1
4.69	0	2.1	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.08	1
4.81	0	2.1	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.13	1
4.91	0	2.2	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.18	1
5.01	0	2.2	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.22	1
5.11	0	2.3	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.27	1
5.21	0	2.3	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.31	1
5.33	0	2.4	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.37	1
5.43	0	2.4	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.41	1
5.53	0	2.5	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.46	1
5.63	0	2.5	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.5	1
5.73	0	2.5	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.55	1
5.84	0	2.6	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.6	1
5.94	0	2.6	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.64	1
6.04	0	2.7	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.69	1
6.14	0	2.7	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.73	1
6.24	0	2.8	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.78	1
6.34	0	2.8	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.82	1
6.44	0	2.9	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.87	1
6.54	0	2.9	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.91	1
6.64	0	3.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	2.96	1
6.76	0	3.0	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.01	1
6.86	0	3.1	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.05	1
6.96	0	3.1	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.1	1
7.06	0	3.1	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.14	1
7.16	0	3.2	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.19	1
7.26	0	3.2	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.23	1
7.36	0	3.3	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.28	1
7.46	0	3.3	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.32	1
7.56	0	3.4	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.37	1
7.66	0	3.4	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.41	1
7.76	0	3.5	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.46	1
7.86	0	3.5	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.51	1
7.96	0	3.6	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.55	1
8.06	0	3.6	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.6	1
8.16	0	3.6	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.64	1
8.26	0	3.7	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.69	1
8.36	0	3.7	0.0	0.0	0.0	0.0	0.0	1	1953	-940.2	-2308.5	0.0	3.73	1
