# spa_racer telemetry — Lotus 49 @ spa
# t	lap	lapdist	kmh	thr	brk	steer	clu	gear	rpm	x	z	lat	along	ontrack
0.28	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
0.56	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
0.85	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
1.1	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
1.35	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
1.61	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
1.9	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
2.17	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
2.42	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
2.68	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
2.94	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
3.23	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
3.5	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
3.75	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
4.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
4.28	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
4.57	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
4.83	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
5.08	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
5.33	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
5.61	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
5.9	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
6.15	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
6.4	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
6.66	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
6.95	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
7.23	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
7.48	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
7.73	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
7.99	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
8.28	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
8.55	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
8.8	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
9.06	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
9.33	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
9.62	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
9.89	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
10.14	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
10.39	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
10.66	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
10.95	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
11.21	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
11.46	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
11.71	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
12.0	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
12.28	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
12.53	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
12.78	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.0	0.0	1
13.04	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
13.33	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
13.61	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
13.86	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
14.11	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
14.37	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
14.66	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
14.94	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
15.19	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
15.44	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
15.71	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
15.99	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
16.26	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
16.51	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
16.77	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
17.04	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
17.32	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
17.59	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
17.84	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
18.09	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
18.37	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
18.65	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
18.91	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
19.16	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
19.42	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
19.7	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
19.99	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
20.23	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
20.49	0	0.0	0.0	0.0	0.0	0.0	1.0	1	1953	-220.0	906.8	0.01	0.0	1
