# watglen_racer telemetry — Lotus 49 @ watglen
# t	lap	lapdist	kmh	thr	brk	steer	clu	gear	rpm	x	z	lat	along	ontrack
0.18	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.3	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.38	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.48	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.58	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.68	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.78	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.88	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
0.98	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.08	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.18	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.28	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.38	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.48	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.58	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.68	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.78	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.88	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
1.98	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.08	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.19	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.29	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.39	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.49	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.59	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.69	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.79	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.89	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
2.99	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.11	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.21	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.31	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.41	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.51	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.61	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.71	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.81	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
3.91	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.01	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.11	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.22	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.32	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.42	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.52	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.62	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.72	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.82	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
4.92	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
5.02	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
5.12	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
5.22	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
5.32	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
5.42	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.0	0.0	1
5.52	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
5.62	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
5.72	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
5.82	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
5.92	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.02	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.12	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.23	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.32	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.42	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.52	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.62	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.72	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.82	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
6.92	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.02	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.12	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.22	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.33	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.43	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.53	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.63	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.73	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.83	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
7.93	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.03	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.13	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.23	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.33	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.43	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.53	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.63	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.73	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.83	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
8.93	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.03	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.13	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.23	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.33	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.43	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.53	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.63	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.73	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.83	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
9.93	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.03	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.13	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.22	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.33	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.43	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.53	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.63	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.73	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.83	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
10.93	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.03	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.13	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.23	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.33	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.43	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.53	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.63	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.73	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.83	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
11.93	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.03	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.13	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.23	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.33	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.43	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.53	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.63	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.73	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.83	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
12.93	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.03	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.13	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.23	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.33	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.43	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.53	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.63	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.73	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.83	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
13.93	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.03	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.13	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.23	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.34	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.44	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.54	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.64	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.74	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.84	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
14.94	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
15.04	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
15.14	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
15.24	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
15.34	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
15.44	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
15.54	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
15.64	0	0.0	0.0	0.0	0.0	0.01	0.0	1	1953	-50.2	762.7	0.01	0.0	1
