# zandvoort_racer telemetry — Lotus 49 @ zandvoort
# t	lap	lapdist	kmh	thr	brk	steer	clu	gear	rpm	x	z	lat	along	ontrack
0.17	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1954	205.7	411.5	0.0	0.0	1
0.28	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
0.37	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
0.47	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
0.57	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
0.67	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
0.77	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
0.87	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
0.97	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.07	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.17	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.27	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.37	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.47	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.57	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.67	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.77	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.87	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
1.97	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.07	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.17	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.27	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.37	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.47	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.57	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.67	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.77	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.87	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
2.97	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.07	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.17	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.27	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.37	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.47	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.57	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.67	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.77	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.87	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
3.97	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.07	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.17	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.27	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.37	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.47	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.57	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.67	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.77	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.87	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
4.97	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.07	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.17	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.27	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.37	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.49	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.59	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.69	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.79	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.89	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
5.99	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.09	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.19	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.29	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.39	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.49	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.59	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.69	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.79	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.89	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
6.99	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
7.09	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
7.19	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
7.29	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
7.39	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
7.49	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
7.59	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.0	0.0	1
7.69	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
7.79	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
7.89	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
7.99	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.09	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.19	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.29	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.39	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.49	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.59	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.69	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.79	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.89	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
8.99	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.09	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.19	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.29	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.39	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.52	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.62	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.72	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.82	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
9.92	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.02	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.12	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.22	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.32	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.42	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.52	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.62	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.72	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.82	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
10.92	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
11.02	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
11.12	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
11.22	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
11.32	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
11.42	0	0.0	0.0	0.0	0.0	0.0	0.0	1	1953	205.7	411.5	0.01	0.0	1
